Damage	Count	Percentage
1	8033	0.008033
12	31	3.1E-05
13	162	0.000162
14	458	0.000458
15	952	0.000952
16	1587	0.001587
17	2699	0.002699
18	4097	0.004097
19	5609	0.005609
20	7297	0.007297
21	9018	0.009018
22	10536	0.010536
23	11316	0.011316
24	12032	0.012032
25	12268	0.012268
26	11965	0.011965
27	11072	0.011072
28	9739	0.009739
29	8542	0.008542
30	7075	0.007075
31	5857	0.005857
32	4929	0.004929
33	4075	0.004075
34	3783	0.003783
35	3749	0.003749
36	4442	0.004442
37	5717	0.005717
38	7389	0.007389
39	9753	0.009753
40	12913	0.012913
41	16635	0.016635
42	21163	0.021163
43	25571	0.025571
44	30293	0.030293
45	34462	0.034462
46	38827	0.038827
47	42031	0.042031
48	44455	0.044455
49	45742	0.045742
50	45267	0.045267
51	44134	0.044134
52	42194	0.042194
53	38899	0.038899
54	34912	0.034912
55	30694	0.030694
56	26393	0.026393
57	21952	0.021952
58	17980	0.01798
59	15127	0.015127
60	12411	0.012411
61	10033	0.010033
62	8774	0.008774
63	7711	0.007711
64	7296	0.007296
65	7022	0.007022
66	7214	0.007214
67	7405	0.007405
68	7701	0.007701
69	7859	0.007859
70	8012	0.008012
71	8194	0.008194
72	7986	0.007986
73	7903	0.007903
74	7468	0.007468
75	7191	0.007191
76	6812	0.006812
77	6236	0.006236
78	5591	0.005591
79	4989	0.004989
80	4489	0.004489
81	3889	0.003889
82	3450	0.00345
83	2941	0.002941
84	2436	0.002436
85	1970	0.00197
86	1744	0.001744
87	1407	0.001407
88	1232	0.001232
89	1013	0.001013
90	889	0.000889
91	784	0.000784
92	665	0.000665
93	584	0.000584
94	535	0.000535
95	461	0.000461
96	474	0.000474
97	450	0.00045
98	406	0.000406
99	324	0.000324
100	345	0.000345
101	285	0.000285
102	242	0.000242
103	211	0.000211
104	218	0.000218
105	170	0.00017
106	148	0.000148
107	131	0.000131
108	101	0.000101
109	80	8E-05
110	66	6.6E-05
111	66	6.6E-05
112	47	4.7E-05
113	29	2.9E-05
114	22	2.2E-05
115	19	1.9E-05
116	11	1.1E-05
117	8	8E-06
118	7	7E-06
119	7	7E-06
120	1	1E-06
121	4	4E-06
122	2	2E-06
123	2	2E-06
124	1	1E-06
