Damage	Count	Percentage
1	89807	0.089807
12	125	0.000125
13	465	0.000465
14	1198	0.001198
15	2371	0.002371
16	4510	0.00451
17	7354	0.007354
18	10914	0.010914
19	15193	0.015193
20	19523	0.019523
21	23991	0.023991
22	27888	0.027888
23	30816	0.030816
24	32351	0.032351
25	32704	0.032704
26	31381	0.031381
27	29109	0.029109
28	26318	0.026318
29	22607	0.022607
30	18695	0.018695
31	15489	0.015489
32	12342	0.012342
33	9703	0.009703
34	7625	0.007625
35	6194	0.006194
36	5387	0.005387
37	5360	0.00536
38	6031	0.006031
39	7310	0.00731
40	9091	0.009091
41	11631	0.011631
42	14186	0.014186
43	17115	0.017115
44	20031	0.020031
45	23007	0.023007
46	25665	0.025665
47	27623	0.027623
48	29358	0.029358
49	29942	0.029942
50	29809	0.029809
51	29196	0.029196
52	27553	0.027553
53	25366	0.025366
54	22825	0.022825
55	19983	0.019983
56	16917	0.016917
57	14150	0.01415
58	11624	0.011624
59	9308	0.009308
60	7408	0.007408
61	5942	0.005942
62	5027	0.005027
63	4115	0.004115
64	3427	0.003427
65	3295	0.003295
66	3250	0.00325
67	3179	0.003179
68	3369	0.003369
69	3262	0.003262
70	3256	0.003256
71	3319	0.003319
72	3174	0.003174
73	3286	0.003286
74	3169	0.003169
75	2869	0.002869
76	2885	0.002885
77	2494	0.002494
78	2355	0.002355
79	2027	0.002027
80	1779	0.001779
81	1528	0.001528
82	1356	0.001356
83	1133	0.001133
84	980	0.00098
85	774	0.000774
86	654	0.000654
87	538	0.000538
88	442	0.000442
89	354	0.000354
90	255	0.000255
91	244	0.000244
92	217	0.000217
93	169	0.000169
94	169	0.000169
95	132	0.000132
96	131	0.000131
97	119	0.000119
98	102	0.000102
99	92	9.2E-05
100	91	9.1E-05
101	69	6.9E-05
102	66	6.6E-05
103	66	6.6E-05
104	36	3.6E-05
105	43	4.3E-05
106	42	4.2E-05
107	35	3.5E-05
108	27	2.7E-05
109	20	2E-05
110	9	9E-06
111	12	1.2E-05
112	11	1.1E-05
113	14	1.4E-05
114	9	9E-06
115	10	1E-05
116	9	9E-06
117	6	6E-06
118	2	2E-06
119	2	2E-06
120	2	2E-06
121	2	2E-06
