Damage	Count	Percentage
22	39	3.9E-05
23	170	0.00017
24	466	0.000466
25	961	0.000961
26	1589	0.001589
27	2719	0.002719
28	3786	0.003786
29	5058	0.005058
30	6330	0.00633
31	7352	0.007352
32	8013	0.008013
33	8181	0.008181
34	7972	0.007972
35	7380	0.00738
36	6297	0.006297
37	5156	0.005156
38	3810	0.00381
39	2846	0.002846
40	1883	0.001883
41	1511	0.001511
42	1224	0.001224
43	1574	0.001574
44	2115	0.002115
45	3141	0.003141
46	4477	0.004477
47	6029	0.006029
48	7995	0.007995
49	9901	0.009901
50	12366	0.012366
51	14752	0.014752
52	17035	0.017035
53	19354	0.019354
54	20965	0.020965
55	22528	0.022528
56	23439	0.023439
57	23531	0.023531
58	23327	0.023327
59	22261	0.022261
60	21423	0.021423
61	19662	0.019662
62	17863	0.017863
63	15593	0.015593
64	14070	0.01407
65	12145	0.012145
66	11094	0.011094
67	10475	0.010475
68	9868	0.009868
69	9818	0.009818
70	10320	0.01032
71	11639	0.011639
72	12551	0.012551
73	14167	0.014167
74	15668	0.015668
75	17612	0.017612
76	19497	0.019497
77	21125	0.021125
78	22855	0.022855
79	23792	0.023792
80	24594	0.024594
81	24607	0.024607
82	24804	0.024804
83	24076	0.024076
84	23152	0.023152
85	22085	0.022085
86	20615	0.020615
87	18804	0.018804
88	17094	0.017094
89	14923	0.014923
90	13043	0.013043
91	11800	0.0118
92	10092	0.010092
93	8828	0.008828
94	7853	0.007853
95	7010	0.00701
96	6450	0.00645
97	6066	0.006066
98	5662	0.005662
99	5526	0.005526
100	5300	0.0053
101	5189	0.005189
102	5063	0.005063
103	5031	0.005031
104	4787	0.004787
105	4456	0.004456
106	4430	0.00443
107	4212	0.004212
108	3911	0.003911
109	3413	0.003413
110	3336	0.003336
111	3015	0.003015
112	2589	0.002589
113	2392	0.002392
114	2041	0.002041
115	1801	0.001801
116	1583	0.001583
117	1349	0.001349
118	1193	0.001193
119	1032	0.001032
120	900	0.0009
121	812	0.000812
122	712	0.000712
123	589	0.000589
124	536	0.000536
125	458	0.000458
126	425	0.000425
127	382	0.000382
128	390	0.00039
129	328	0.000328
130	292	0.000292
131	270	0.00027
132	251	0.000251
133	230	0.00023
134	191	0.000191
135	192	0.000192
136	152	0.000152
137	150	0.00015
138	117	0.000117
139	88	8.8E-05
140	93	9.3E-05
141	64	6.4E-05
142	50	5E-05
143	52	5.2E-05
144	39	3.9E-05
145	43	4.3E-05
146	32	3.2E-05
147	32	3.2E-05
148	29	2.9E-05
149	16	1.6E-05
150	14	1.4E-05
151	16	1.6E-05
152	13	1.3E-05
153	6	6E-06
154	12	1.2E-05
155	13	1.3E-05
156	2	2E-06
158	13	1.3E-05
159	2	2E-06
160	4	4E-06
162	3	3E-06
163	2	2E-06
164	1	1E-06
166	1	1E-06
168	2	2E-06
169	1	1E-06
170	1	1E-06
174	1	1E-06
175	1	1E-06
