Damage	Count	Percentage
22	10	1E-05
23	18	1.8E-05
24	36	3.6E-05
25	73	7.3E-05
26	157	0.000157
27	223	0.000223
28	339	0.000339
29	493	0.000493
30	561	0.000561
31	674	0.000674
32	738	0.000738
33	772	0.000772
34	758	0.000758
35	635	0.000635
36	555	0.000555
37	474	0.000474
38	377	0.000377
39	296	0.000296
40	232	0.000232
41	240	0.00024
42	300	0.0003
43	447	0.000447
44	719	0.000719
45	1057	0.001057
46	1567	0.001567
47	2206	0.002206
48	2812	0.002812
49	3653	0.003653
50	4423	0.004423
51	5449	0.005449
52	6312	0.006312
53	7130	0.00713
54	7730	0.00773
55	8367	0.008367
56	8736	0.008736
57	8735	0.008735
58	8728	0.008728
59	8430	0.00843
60	8008	0.008008
61	7453	0.007453
62	7140	0.00714
63	6527	0.006527
64	6245	0.006245
65	6095	0.006095
66	6336	0.006336
67	6766	0.006766
68	7596	0.007596
69	9163	0.009163
70	10854	0.010854
71	12586	0.012586
72	15304	0.015304
73	17998	0.017998
74	20911	0.020911
75	23678	0.023678
76	26651	0.026651
77	29258	0.029258
78	31608	0.031608
79	33717	0.033717
80	35098	0.035098
81	36257	0.036257
82	35801	0.035801
83	35318	0.035318
84	33914	0.033914
85	32336	0.032336
86	30155	0.030155
87	27922	0.027922
88	25291	0.025291
89	22456	0.022456
90	20128	0.020128
91	17943	0.017943
92	16269	0.016269
93	14537	0.014537
94	13004	0.013004
95	12178	0.012178
96	11358	0.011358
97	10735	0.010735
98	10437	0.010437
99	10525	0.010525
100	10352	0.010352
101	10067	0.010067
102	10190	0.01019
103	9893	0.009893
104	9851	0.009851
105	9570	0.00957
106	9151	0.009151
107	8582	0.008582
108	8089	0.008089
109	7598	0.007598
110	6897	0.006897
111	6281	0.006281
112	5789	0.005789
113	5087	0.005087
114	4618	0.004618
115	3995	0.003995
116	3678	0.003678
117	3060	0.00306
118	2838	0.002838
119	2473	0.002473
120	2166	0.002166
121	1969	0.001969
122	1740	0.00174
123	1564	0.001564
124	1395	0.001395
125	1295	0.001295
126	1223	0.001223
127	1114	0.001114
128	1035	0.001035
129	874	0.000874
130	868	0.000868
131	769	0.000769
132	760	0.00076
133	680	0.00068
134	583	0.000583
135	500	0.0005
136	463	0.000463
137	435	0.000435
138	328	0.000328
139	323	0.000323
140	267	0.000267
141	215	0.000215
142	224	0.000224
143	167	0.000167
144	143	0.000143
145	124	0.000124
146	101	0.000101
147	84	8.4E-05
148	74	7.4E-05
149	64	6.4E-05
150	47	4.7E-05
151	48	4.8E-05
152	44	4.4E-05
153	31	3.1E-05
154	24	2.4E-05
155	31	3.1E-05
156	25	2.5E-05
157	21	2.1E-05
158	18	1.8E-05
159	19	1.9E-05
160	12	1.2E-05
161	9	9E-06
162	10	1E-05
163	7	7E-06
164	3	3E-06
165	6	6E-06
166	5	5E-06
167	3	3E-06
168	3	3E-06
169	2	2E-06
170	1	1E-06
171	2	2E-06
172	2	2E-06
177	1	1E-06
178	1	1E-06
181	1	1E-06
