Damage	Count	Percentage
22	3	3E-06
23	12	1.2E-05
24	33	3.3E-05
25	52	5.2E-05
26	105	0.000105
27	169	0.000169
28	241	0.000241
29	337	0.000337
30	407	0.000407
31	495	0.000495
32	508	0.000508
33	488	0.000488
34	506	0.000506
35	496	0.000496
36	362	0.000362
37	336	0.000336
38	248	0.000248
39	206	0.000206
40	179	0.000179
41	172	0.000172
42	188	0.000188
43	320	0.00032
44	418	0.000418
45	587	0.000587
46	912	0.000912
47	1104	0.001104
48	1557	0.001557
49	1909	0.001909
50	2273	0.002273
51	2657	0.002657
52	3234	0.003234
53	3570	0.00357
54	4031	0.004031
55	4254	0.004254
56	4219	0.004219
57	4374	0.004374
58	4319	0.004319
59	4270	0.00427
60	4165	0.004165
61	3882	0.003882
62	3686	0.003686
63	3695	0.003695
64	3506	0.003506
65	3582	0.003582
66	3759	0.003759
67	4048	0.004048
68	4391	0.004391
69	5050	0.00505
70	5876	0.005876
71	6722	0.006722
72	7899	0.007899
73	8832	0.008832
74	9775	0.009775
75	11201	0.011201
76	12135	0.012135
77	13268	0.013268
78	13697	0.013697
79	14839	0.014839
80	14861	0.014861
81	15124	0.015124
82	15309	0.015309
83	15326	0.015326
84	14879	0.014879
85	14702	0.014702
86	14324	0.014324
87	13742	0.013742
88	13545	0.013545
89	13108	0.013108
90	13113	0.013113
91	13117	0.013117
92	13501	0.013501
93	13855	0.013855
94	13998	0.013998
95	14981	0.014981
96	15410	0.01541
97	16242	0.016242
98	16754	0.016754
99	17428	0.017428
100	18096	0.018096
101	18163	0.018163
102	18646	0.018646
103	18647	0.018647
104	18649	0.018649
105	18273	0.018273
106	17890	0.01789
107	17497	0.017497
108	16905	0.016905
109	16145	0.016145
110	15602	0.015602
111	14791	0.014791
112	14129	0.014129
113	13555	0.013555
114	12897	0.012897
115	12250	0.01225
116	12033	0.012033
117	11908	0.011908
118	11436	0.011436
119	11082	0.011082
120	11111	0.011111
121	10661	0.010661
122	10498	0.010498
123	10406	0.010406
124	10240	0.01024
125	9959	0.009959
126	9711	0.009711
127	9359	0.009359
128	9204	0.009204
129	8828	0.008828
130	8234	0.008234
131	7612	0.007612
132	7321	0.007321
133	6820	0.00682
134	6264	0.006264
135	5776	0.005776
136	5438	0.005438
137	5027	0.005027
138	4523	0.004523
139	4167	0.004167
140	3951	0.003951
141	3530	0.00353
142	3345	0.003345
143	2945	0.002945
144	2764	0.002764
145	2580	0.00258
146	2457	0.002457
147	2242	0.002242
148	2039	0.002039
149	1900	0.0019
150	1784	0.001784
151	1595	0.001595
152	1480	0.00148
153	1354	0.001354
154	1291	0.001291
155	1142	0.001142
156	1020	0.00102
157	858	0.000858
158	831	0.000831
159	681	0.000681
160	573	0.000573
161	549	0.000549
162	450	0.00045
163	382	0.000382
164	304	0.000304
165	280	0.00028
166	223	0.000223
167	191	0.000191
168	132	0.000132
169	104	0.000104
170	89	8.9E-05
171	64	6.4E-05
172	61	6.1E-05
173	42	4.2E-05
174	35	3.5E-05
175	22	2.2E-05
176	27	2.7E-05
177	21	2.1E-05
178	11	1.1E-05
179	2	2E-06
180	7	7E-06
181	5	5E-06
182	2	2E-06
184	2	2E-06
185	1	1E-06
187	1	1E-06
