Damage	Count	Percentage
8	1857	0.001857
12	99	9.9E-05
15	4132	0.004132
16	4221	0.004221
17	4237	0.004237
18	4348	0.004348
19	4512	0.004512
20	4561	0.004561
21	4547	0.004547
22	10804	0.010804
23	16987	0.016987
24	23300	0.0233
25	25818	0.025818
26	32920	0.03292
27	39631	0.039631
28	47311	0.047311
29	54234	0.054234
30	62189	0.062189
31	69985	0.069985
32	65770	0.06577
33	62155	0.062155
34	57321	0.057321
35	52932	0.052932
36	47697	0.047697
37	41674	0.041674
38	35875	0.035875
39	30050	0.03005
40	23881	0.023881
41	16566	0.016566
42	15970	0.01597
43	14802	0.014802
44	13932	0.013932
45	12840	0.01284
46	12094	0.012094
47	11181	0.011181
48	10406	0.010406
49	9435	0.009435
50	8444	0.008444
51	7413	0.007413
52	6546	0.006546
53	5662	0.005662
54	4782	0.004782
55	4030	0.00403
56	3126	0.003126
57	2541	0.002541
58	1861	0.001861
59	1414	0.001414
60	1070	0.00107
61	799	0.000799
62	569	0.000569
63	471	0.000471
64	310	0.00031
65	247	0.000247
66	161	0.000161
67	96	9.6E-05
68	72	7.2E-05
69	36	3.6E-05
70	31	3.1E-05
71	14	1.4E-05
72	13	1.3E-05
73	7	7E-06
74	4	4E-06
75	5	5E-06
76	2	2E-06
