Damage	Count	Percentage
8	22593	0.022593
12	3412	0.003412
15	13445	0.013445
16	13508	0.013508
17	13386	0.013386
18	13423	0.013423
19	15399	0.015399
20	15481	0.015481
21	15520	0.01552
22	21016	0.021016
23	26734	0.026734
24	32034	0.032034
25	24697	0.024697
26	31238	0.031238
27	37461	0.037461
28	44359	0.044359
29	49114	0.049114
30	56064	0.056064
31	62405	0.062405
32	58847	0.058847
33	54862	0.054862
34	50748	0.050748
35	47236	0.047236
36	41533	0.041533
37	36382	0.036382
38	30575	0.030575
39	24791	0.024791
40	19192	0.019192
41	13165	0.013165
42	12238	0.012238
43	11265	0.011265
44	10555	0.010555
45	9553	0.009553
46	9150	0.00915
47	8402	0.008402
48	7753	0.007753
49	7201	0.007201
50	6459	0.006459
51	5835	0.005835
52	4930	0.00493
53	4009	0.004009
54	3311	0.003311
55	2765	0.002765
56	2196	0.002196
57	1625	0.001625
58	1223	0.001223
59	842	0.000842
60	605	0.000605
61	418	0.000418
62	293	0.000293
63	230	0.00023
64	172	0.000172
65	133	0.000133
66	83	8.3E-05
67	57	5.7E-05
68	37	3.7E-05
69	14	1.4E-05
70	11	1.1E-05
71	2	2E-06
72	4	4E-06
73	5	5E-06
74	2	2E-06
75	1	1E-06
77	1	1E-06
