Damage	Count	Percentage
12	3352	0.003352
16	885	0.000885
19	2168	0.002168
20	2160	0.00216
21	2189	0.002189
22	2039	0.002039
23	2708	0.002708
24	2769	0.002769
25	2587	0.002587
26	3988	0.003988
27	5142	0.005142
28	6577	0.006577
29	5809	0.005809
30	7364	0.007364
31	9075	0.009075
32	10668	0.010668
33	12174	0.012174
34	14617	0.014617
35	17727	0.017727
36	18781	0.018781
37	20488	0.020488
38	22329	0.022329
39	24535	0.024535
40	27481	0.027481
41	30441	0.030441
42	34517	0.034517
43	37072	0.037072
44	39450	0.03945
45	40954	0.040954
46	43653	0.043653
47	44707	0.044707
48	45368	0.045368
49	44439	0.044439
50	42720	0.04272
51	40461	0.040461
52	36527	0.036527
53	32949	0.032949
54	29716	0.029716
55	26443	0.026443
56	23517	0.023517
57	20660	0.02066
58	18255	0.018255
59	16427	0.016427
60	14515	0.014515
61	13223	0.013223
62	12163	0.012163
63	11234	0.011234
64	10275	0.010275
65	9394	0.009394
66	8553	0.008553
67	7498	0.007498
68	6527	0.006527
69	5830	0.00583
70	4949	0.004949
71	4188	0.004188
72	3503	0.003503
73	2802	0.002802
74	2209	0.002209
75	1834	0.001834
76	1352	0.001352
77	1088	0.001088
78	766	0.000766
79	583	0.000583
80	441	0.000441
81	345	0.000345
82	252	0.000252
83	196	0.000196
84	123	0.000123
85	88	8.8E-05
86	65	6.5E-05
87	39	3.9E-05
88	28	2.8E-05
89	21	2.1E-05
90	8	8E-06
91	4	4E-06
92	5	5E-06
93	7	7E-06
94	3	3E-06
95	1	1E-06
