Damage	Count	Percentage
12	94	9.4E-05
16	10	1E-05
19	174	0.000174
20	180	0.00018
21	189	0.000189
22	178	0.000178
23	194	0.000194
24	208	0.000208
25	208	0.000208
26	627	0.000627
27	1039	0.001039
28	1433	0.001433
29	1700	0.0017
30	2091	0.002091
31	2563	0.002563
32	2971	0.002971
33	4078	0.004078
34	5408	0.005408
35	7431	0.007431
36	9114	0.009114
37	11718	0.011718
38	14298	0.014298
39	17859	0.017859
40	21980	0.02198
41	26789	0.026789
42	32168	0.032168
43	37079	0.037079
44	41016	0.041016
45	44703	0.044703
46	46897	0.046897
47	48739	0.048739
48	50058	0.050058
49	50109	0.050109
50	48370	0.04837
51	45792	0.045792
52	42484	0.042484
53	38947	0.038947
54	35444	0.035444
55	31990	0.03199
56	28674	0.028674
57	26082	0.026082
58	23216	0.023216
59	20960	0.02096
60	18990	0.01899
61	17348	0.017348
62	16335	0.016335
63	15212	0.015212
64	14056	0.014056
65	12779	0.012779
66	11932	0.011932
67	10616	0.010616
68	9319	0.009319
69	8257	0.008257
70	7263	0.007263
71	6211	0.006211
72	5131	0.005131
73	4506	0.004506
74	3486	0.003486
75	2999	0.002999
76	2286	0.002286
77	1832	0.001832
78	1533	0.001533
79	1206	0.001206
80	878	0.000878
81	682	0.000682
82	527	0.000527
83	390	0.00039
84	280	0.00028
85	206	0.000206
86	134	0.000134
87	111	0.000111
88	75	7.5E-05
89	45	4.5E-05
90	38	3.8E-05
91	31	3.1E-05
92	9	9E-06
93	16	1.6E-05
94	11	1.1E-05
95	3	3E-06
96	4	4E-06
103	1	1E-06
