Damage	Count	Percentage
12	705	0.000705
27	561	0.000561
28	1011	0.001011
29	1578	0.001578
30	2106	0.002106
31	2602	0.002602
32	3141	0.003141
33	2608	0.002608
34	2133	0.002133
35	1638	0.001638
36	1091	0.001091
37	556	0.000556
38	172	0.000172
39	265	0.000265
40	457	0.000457
41	709	0.000709
42	908	0.000908
43	1165	0.001165
44	1476	0.001476
45	1663	0.001663
46	1798	0.001798
47	1885	0.001885
48	1741	0.001741
49	1641	0.001641
50	1513	0.001513
51	1169	0.001169
52	1058	0.001058
53	1006	0.001006
54	1226	0.001226
55	1817	0.001817
56	2918	0.002918
57	4621	0.004621
58	7219	0.007219
59	10790	0.01079
60	15010	0.01501
61	19911	0.019911
62	24746	0.024746
63	29650	0.02965
64	34142	0.034142
65	38285	0.038285
66	40403	0.040403
67	41061	0.041061
68	40252	0.040252
69	37903	0.037903
70	34330	0.03433
71	29542	0.029542
72	24541	0.024541
73	19768	0.019768
74	15022	0.015022
75	10996	0.010996
76	7618	0.007618
77	5198	0.005198
78	3371	0.003371
79	2208	0.002208
80	1456	0.001456
81	1118	0.001118
82	964	0.000964
83	979	0.000979
84	1017	0.001017
85	1194	0.001194
86	1345	0.001345
87	1674	0.001674
88	2116	0.002116
89	2551	0.002551
90	3188	0.003188
91	3981	0.003981
92	4873	0.004873
93	6186	0.006186
94	7243	0.007243
95	8591	0.008591
96	9873	0.009873
97	11064	0.011064
98	12643	0.012643
99	14004	0.014004
100	14734	0.014734
101	15826	0.015826
102	16459	0.016459
103	17182	0.017182
104	17639	0.017639
105	17801	0.017801
106	18115	0.018115
107	18162	0.018162
108	18086	0.018086
109	17734	0.017734
110	17168	0.017168
111	16608	0.016608
112	16193	0.016193
113	15085	0.015085
114	14411	0.014411
115	13407	0.013407
116	12473	0.012473
117	11494	0.011494
118	10495	0.010495
119	9388	0.009388
120	8352	0.008352
121	7429	0.007429
122	6460	0.00646
123	5613	0.005613
124	4967	0.004967
125	4103	0.004103
126	3500	0.0035
127	2918	0.002918
128	2450	0.00245
129	1928	0.001928
130	1576	0.001576
131	1260	0.00126
132	1032	0.001032
133	791	0.000791
134	568	0.000568
135	459	0.000459
136	337	0.000337
137	249	0.000249
138	171	0.000171
139	140	0.00014
140	81	8.1E-05
141	71	7.1E-05
142	38	3.8E-05
143	36	3.6E-05
144	24	2.4E-05
145	12	1.2E-05
146	2	2E-06
147	5	5E-06
148	2	2E-06
150	2	2E-06
