Damage	Count	Percentage
12	732	0.000732
27	545	0.000545
28	1056	0.001056
29	1496	0.001496
30	2083	0.002083
31	2637	0.002637
32	3142	0.003142
33	2588	0.002588
34	2096	0.002096
35	1567	0.001567
36	968	0.000968
37	547	0.000547
38	2	2E-06
39	2	2E-06
40	10	1E-05
41	8	8E-06
42	18	1.8E-05
43	26	2.6E-05
44	15	1.5E-05
45	21	2.1E-05
46	19	1.9E-05
47	22	2.2E-05
48	17	1.7E-05
49	13	1.3E-05
50	12	1.2E-05
51	3	3E-06
52	8	8E-06
53	18	1.8E-05
54	40	4E-05
55	74	7.4E-05
56	151	0.000151
57	226	0.000226
58	401	0.000401
59	553	0.000553
60	689	0.000689
61	912	0.000912
62	1105	0.001105
63	1422	0.001422
64	1604	0.001604
65	1774	0.001774
66	1873	0.001873
67	1922	0.001922
68	1982	0.001982
69	1841	0.001841
70	1859	0.001859
71	1820	0.00182
72	1939	0.001939
73	2141	0.002141
74	2651	0.002651
75	3367	0.003367
76	4637	0.004637
77	5969	0.005969
78	8105	0.008105
79	10558	0.010558
80	13518	0.013518
81	16857	0.016857
82	20221	0.020221
83	23420	0.02342
84	26722	0.026722
85	29983	0.029983
86	31904	0.031904
87	33528	0.033528
88	34019	0.034019
89	33112	0.033112
90	32044	0.032044
91	29766	0.029766
92	27233	0.027233
93	23863	0.023863
94	20760	0.02076
95	16787	0.016787
96	13670	0.01367
97	10547	0.010547
98	8126	0.008126
99	6002	0.006002
100	4438	0.004438
101	3070	0.00307
102	2199	0.002199
103	1638	0.001638
104	1270	0.00127
105	1205	0.001205
106	1201	0.001201
107	1308	0.001308
108	1663	0.001663
109	2101	0.002101
110	2621	0.002621
111	3299	0.003299
112	4087	0.004087
113	4722	0.004722
114	5691	0.005691
115	6480	0.00648
116	7577	0.007577
117	8249	0.008249
118	9045	0.009045
119	10028	0.010028
120	10367	0.010367
121	10915	0.010915
122	11377	0.011377
123	11646	0.011646
124	11595	0.011595
125	11527	0.011527
126	11416	0.011416
127	11311	0.011311
128	11014	0.011014
129	10799	0.010799
130	10893	0.010893
131	10774	0.010774
132	10527	0.010527
133	10793	0.010793
134	10891	0.010891
135	10940	0.01094
136	10954	0.010954
137	11182	0.011182
138	11052	0.011052
139	11603	0.011603
140	11379	0.011379
141	11465	0.011465
142	11371	0.011371
143	11223	0.011223
144	11021	0.011021
145	10616	0.010616
146	10088	0.010088
147	9545	0.009545
148	8876	0.008876
149	8452	0.008452
150	7992	0.007992
151	7086	0.007086
152	6593	0.006593
153	5770	0.00577
154	5180	0.00518
155	4613	0.004613
156	4024	0.004024
157	3467	0.003467
158	3009	0.003009
159	2561	0.002561
160	2151	0.002151
161	1741	0.001741
162	1463	0.001463
163	1148	0.001148
164	913	0.000913
165	824	0.000824
166	641	0.000641
167	499	0.000499
168	385	0.000385
169	295	0.000295
170	209	0.000209
171	166	0.000166
172	119	0.000119
173	81	8.1E-05
174	58	5.8E-05
175	60	6E-05
176	24	2.4E-05
177	17	1.7E-05
178	9	9E-06
179	9	9E-06
180	8	8E-06
181	3	3E-06
182	2	2E-06
183	6	6E-06
184	2	2E-06
