Damage	Count	Percentage
12	8078	0.008078
27	439	0.000439
28	893	0.000893
29	1399	0.001399
30	1778	0.001778
31	2286	0.002286
32	2716	0.002716
33	2238	0.002238
34	1796	0.001796
35	1435	0.001435
36	1249	0.001249
37	1364	0.001364
38	1806	0.001806
39	3235	0.003235
40	5121	0.005121
41	7534	0.007534
42	10211	0.010211
43	13021	0.013021
44	15854	0.015854
45	17902	0.017902
46	19334	0.019334
47	19785	0.019785
48	19427	0.019427
49	18031	0.018031
50	15920	0.01592
51	13294	0.013294
52	10636	0.010636
53	7673	0.007673
54	5821	0.005821
55	4446	0.004446
56	4288	0.004288
57	5024	0.005024
58	6753	0.006753
59	9635	0.009635
60	12790	0.01279
61	17314	0.017314
62	21727	0.021727
63	26114	0.026114
64	30301	0.030301
65	33241	0.033241
66	35874	0.035874
67	36434	0.036434
68	35730	0.03573
69	33871	0.033871
70	30871	0.030871
71	27416	0.027416
72	22874	0.022874
73	19037	0.019037
74	14882	0.014882
75	11654	0.011654
76	8783	0.008783
77	6997	0.006997
78	5633	0.005633
79	5047	0.005047
80	4731	0.004731
81	4893	0.004893
82	5264	0.005264
83	5660	0.00566
84	6093	0.006093
85	6584	0.006584
86	6805	0.006805
87	7307	0.007307
88	7458	0.007458
89	7700	0.0077
90	7696	0.007696
91	7735	0.007735
92	7930	0.00793
93	7855	0.007855
94	7698	0.007698
95	7833	0.007833
96	7639	0.007639
97	7580	0.00758
98	7495	0.007495
99	7665	0.007665
100	7935	0.007935
101	7919	0.007919
102	7976	0.007976
103	8331	0.008331
104	8307	0.008307
105	8466	0.008466
106	8504	0.008504
107	8661	0.008661
108	8488	0.008488
109	8538	0.008538
110	8318	0.008318
111	8041	0.008041
112	7752	0.007752
113	7209	0.007209
114	6611	0.006611
115	6138	0.006138
116	5554	0.005554
117	4927	0.004927
118	4171	0.004171
119	3942	0.003942
120	3216	0.003216
121	2692	0.002692
122	2296	0.002296
123	1959	0.001959
124	1577	0.001577
125	1329	0.001329
126	1078	0.001078
127	812	0.000812
128	611	0.000611
129	525	0.000525
130	371	0.000371
131	284	0.000284
132	218	0.000218
133	165	0.000165
134	144	0.000144
135	91	9.1E-05
136	66	6.6E-05
137	47	4.7E-05
138	34	3.4E-05
139	21	2.1E-05
140	16	1.6E-05
141	11	1.1E-05
142	7	7E-06
144	4	4E-06
145	1	1E-06
147	4	4E-06
