Damage	Count	Percentage
12	89975	0.089975
27	5072	0.005072
28	10088	0.010088
29	14986	0.014986
30	20074	0.020074
31	24980	0.02498
32	29854	0.029854
33	24679	0.024679
34	19966	0.019966
35	14995	0.014995
36	10334	0.010334
37	5837	0.005837
38	1674	0.001674
39	2948	0.002948
40	4788	0.004788
41	7041	0.007041
42	9556	0.009556
43	11960	0.01196
44	14637	0.014637
45	16388	0.016388
46	17518	0.017518
47	17913	0.017913
48	17353	0.017353
49	15717	0.015717
50	14096	0.014096
51	11484	0.011484
52	8835	0.008835
53	6779	0.006779
54	5039	0.005039
55	3882	0.003882
56	3775	0.003775
57	4474	0.004474
58	6119	0.006119
59	8525	0.008525
60	11669	0.011669
61	15446	0.015446
62	19361	0.019361
63	23679	0.023679
64	26708	0.026708
65	29388	0.029388
66	31432	0.031432
67	31876	0.031876
68	31100	0.0311
69	29386	0.029386
70	26571	0.026571
71	23198	0.023198
72	19440	0.01944
73	15924	0.015924
74	12295	0.012295
75	9451	0.009451
76	7036	0.007036
77	5269	0.005269
78	3994	0.003994
79	3325	0.003325
80	2899	0.002899
81	2750	0.00275
82	2648	0.002648
83	2759	0.002759
84	2918	0.002918
85	2978	0.002978
86	3050	0.00305
87	3092	0.003092
88	3195	0.003195
89	3250	0.00325
90	3316	0.003316
91	3422	0.003422
92	3617	0.003617
93	3717	0.003717
94	3831	0.003831
95	3873	0.003873
96	3872	0.003872
97	4038	0.004038
98	4292	0.004292
99	4333	0.004333
100	4379	0.004379
101	4486	0.004486
102	4430	0.00443
103	4375	0.004375
104	4556	0.004556
105	4231	0.004231
106	4262	0.004262
107	4018	0.004018
108	3901	0.003901
109	3781	0.003781
110	3650	0.00365
111	3266	0.003266
112	3183	0.003183
113	2892	0.002892
114	2589	0.002589
115	2390	0.00239
116	2180	0.00218
117	1959	0.001959
118	1720	0.00172
119	1508	0.001508
120	1176	0.001176
121	1021	0.001021
122	834	0.000834
123	729	0.000729
124	621	0.000621
125	491	0.000491
126	389	0.000389
127	283	0.000283
128	248	0.000248
129	173	0.000173
130	154	0.000154
131	104	0.000104
132	70	7E-05
133	52	5.2E-05
134	46	4.6E-05
135	33	3.3E-05
136	24	2.4E-05
137	16	1.6E-05
138	9	9E-06
139	14	1.4E-05
140	4	4E-06
141	4	4E-06
142	8	8E-06
144	1	1E-06
147	1	1E-06
