Damage	Count	Percentage
12	90040	0.09004
27	4892	0.004892
28	9925	0.009925
29	14987	0.014987
30	20216	0.020216
31	24811	0.024811
32	30080	0.03008
33	24812	0.024812
34	20108	0.020108
35	14955	0.014955
36	10396	0.010396
37	5717	0.005717
38	1586	0.001586
39	2778	0.002778
40	4357	0.004357
41	6404	0.006404
42	8687	0.008687
43	11138	0.011138
44	13592	0.013592
45	15174	0.015174
46	16343	0.016343
47	17126	0.017126
48	16456	0.016456
49	15178	0.015178
50	13356	0.013356
51	11057	0.011057
52	8779	0.008779
53	6611	0.006611
54	4894	0.004894
55	3855	0.003855
56	3529	0.003529
57	4215	0.004215
58	5520	0.00552
59	7723	0.007723
60	10579	0.010579
61	13948	0.013948
62	17708	0.017708
63	21519	0.021519
64	24739	0.024739
65	27198	0.027198
66	29436	0.029436
67	29482	0.029482
68	29049	0.029049
69	27212	0.027212
70	24790	0.02479
71	21269	0.021269
72	17668	0.017668
73	14272	0.014272
74	10567	0.010567
75	7620	0.00762
76	5243	0.005243
77	3440	0.00344
78	1977	0.001977
79	1107	0.001107
80	579	0.000579
81	245	0.000245
82	82	8.2E-05
83	30	3E-05
84	2	2E-06
109	1	1E-06
110	2	2E-06
113	1	1E-06
114	2	2E-06
115	2	2E-06
116	2	2E-06
117	3	3E-06
118	3	3E-06
119	4	4E-06
120	8	8E-06
121	7	7E-06
122	7	7E-06
123	17	1.7E-05
124	13	1.3E-05
125	25	2.5E-05
126	29	2.9E-05
127	29	2.9E-05
128	39	3.9E-05
129	42	4.2E-05
130	41	4.1E-05
131	54	5.4E-05
132	70	7E-05
133	70	7E-05
134	95	9.5E-05
135	88	8.8E-05
136	108	0.000108
137	133	0.000133
138	155	0.000155
139	126	0.000126
140	191	0.000191
141	196	0.000196
142	224	0.000224
143	258	0.000258
144	253	0.000253
145	280	0.00028
146	279	0.000279
147	344	0.000344
148	343	0.000343
149	377	0.000377
150	411	0.000411
151	417	0.000417
152	512	0.000512
153	490	0.00049
154	527	0.000527
155	602	0.000602
156	582	0.000582
157	628	0.000628
158	737	0.000737
159	745	0.000745
160	795	0.000795
161	864	0.000864
162	841	0.000841
163	903	0.000903
164	918	0.000918
165	1093	0.001093
166	1118	0.001118
167	1112	0.001112
168	1212	0.001212
169	1173	0.001173
170	1316	0.001316
171	1370	0.00137
172	1421	0.001421
173	1509	0.001509
174	1502	0.001502
175	1563	0.001563
176	1677	0.001677
177	1842	0.001842
178	1761	0.001761
179	1901	0.001901
180	1885	0.001885
181	2045	0.002045
182	2087	0.002087
183	2199	0.002199
184	2137	0.002137
185	2224	0.002224
186	2364	0.002364
187	2438	0.002438
188	2488	0.002488
189	2515	0.002515
190	2601	0.002601
191	2731	0.002731
192	2714	0.002714
193	2782	0.002782
194	2871	0.002871
195	2878	0.002878
196	2979	0.002979
197	3073	0.003073
198	3106	0.003106
199	3123	0.003123
200	3245	0.003245
201	3293	0.003293
202	3335	0.003335
203	3343	0.003343
204	3489	0.003489
205	3451	0.003451
206	3486	0.003486
207	3435	0.003435
208	3453	0.003453
209	3332	0.003332
210	3414	0.003414
211	3473	0.003473
212	3223	0.003223
213	3327	0.003327
214	3178	0.003178
215	3161	0.003161
216	3121	0.003121
217	3045	0.003045
218	2991	0.002991
219	2824	0.002824
220	2679	0.002679
221	2631	0.002631
222	2587	0.002587
223	2346	0.002346
224	2314	0.002314
225	2170	0.00217
226	2002	0.002002
227	1931	0.001931
228	1811	0.001811
229	1731	0.001731
230	1637	0.001637
231	1453	0.001453
232	1413	0.001413
233	1306	0.001306
234	1153	0.001153
235	1047	0.001047
236	990	0.00099
237	930	0.00093
238	772	0.000772
239	723	0.000723
240	663	0.000663
241	557	0.000557
242	519	0.000519
243	464	0.000464
244	410	0.00041
245	322	0.000322
246	311	0.000311
247	273	0.000273
248	259	0.000259
249	195	0.000195
250	171	0.000171
251	134	0.000134
252	112	0.000112
253	111	0.000111
254	93	9.3E-05
255	64	6.4E-05
256	61	6.1E-05
257	49	4.9E-05
258	39	3.9E-05
259	36	3.6E-05
260	25	2.5E-05
261	22	2.2E-05
262	24	2.4E-05
263	17	1.7E-05
264	12	1.2E-05
265	13	1.3E-05
266	10	1E-05
267	5	5E-06
268	4	4E-06
269	3	3E-06
270	6	6E-06
271	5	5E-06
272	1	1E-06
273	1	1E-06
274	1	1E-06
275	1	1E-06
278	1	1E-06
