Damage	Count	Percentage
12	735	0.000735
27	533	0.000533
28	1023	0.001023
29	1617	0.001617
30	2125	0.002125
31	2736	0.002736
32	3271	0.003271
33	2677	0.002677
34	2167	0.002167
35	1561	0.001561
36	1096	0.001096
37	613	0.000613
38	154	0.000154
39	299	0.000299
40	454	0.000454
41	674	0.000674
42	906	0.000906
43	1190	0.00119
44	1398	0.001398
45	1665	0.001665
46	1743	0.001743
47	1800	0.0018
48	1745	0.001745
49	1615	0.001615
50	1421	0.001421
51	1158	0.001158
52	1006	0.001006
53	1001	0.001001
54	1236	0.001236
55	1783	0.001783
56	2875	0.002875
57	4680	0.00468
58	7162	0.007162
59	10584	0.010584
60	14331	0.014331
61	19206	0.019206
62	24641	0.024641
63	29238	0.029238
64	33643	0.033643
65	37028	0.037028
66	39794	0.039794
67	40640	0.04064
68	39952	0.039952
69	37337	0.037337
70	33768	0.033768
71	29320	0.02932
72	24257	0.024257
73	19259	0.019259
74	14614	0.014614
75	10521	0.010521
76	7151	0.007151
77	4585	0.004585
78	2728	0.002728
79	1491	0.001491
80	765	0.000765
81	363	0.000363
82	142	0.000142
83	33	3.3E-05
84	6	6E-06
109	1	1E-06
111	1	1E-06
122	1	1E-06
125	3	3E-06
127	1	1E-06
130	2	2E-06
131	1	1E-06
132	3	3E-06
133	2	2E-06
134	4	4E-06
135	3	3E-06
136	1	1E-06
137	3	3E-06
138	6	6E-06
139	5	5E-06
140	10	1E-05
141	10	1E-05
142	14	1.4E-05
143	12	1.2E-05
144	12	1.2E-05
145	16	1.6E-05
146	23	2.3E-05
147	24	2.4E-05
148	38	3.8E-05
149	32	3.2E-05
150	37	3.7E-05
151	52	5.2E-05
152	46	4.6E-05
153	65	6.5E-05
154	75	7.5E-05
155	89	8.9E-05
156	88	8.8E-05
157	100	0.0001
158	122	0.000122
159	135	0.000135
160	142	0.000142
161	139	0.000139
162	182	0.000182
163	176	0.000176
164	232	0.000232
165	260	0.00026
166	245	0.000245
167	271	0.000271
168	310	0.00031
169	332	0.000332
170	377	0.000377
171	391	0.000391
172	459	0.000459
173	494	0.000494
174	525	0.000525
175	587	0.000587
176	667	0.000667
177	707	0.000707
178	882	0.000882
179	940	0.00094
180	1005	0.001005
181	1147	0.001147
182	1217	0.001217
183	1398	0.001398
184	1632	0.001632
185	1770	0.00177
186	1980	0.00198
187	2062	0.002062
188	2431	0.002431
189	2644	0.002644
190	2930	0.00293
191	3365	0.003365
192	3497	0.003497
193	3829	0.003829
194	4360	0.00436
195	4674	0.004674
196	5209	0.005209
197	5506	0.005506
198	5904	0.005904
199	6370	0.00637
200	6720	0.00672
201	7048	0.007048
202	7802	0.007802
203	8064	0.008064
204	8451	0.008451
205	9078	0.009078
206	9509	0.009509
207	9648	0.009648
208	9995	0.009995
209	10469	0.010469
210	10879	0.010879
211	11240	0.01124
212	11113	0.011113
213	11488	0.011488
214	11598	0.011598
215	11482	0.011482
216	11757	0.011757
217	11599	0.011599
218	11707	0.011707
219	11479	0.011479
220	11420	0.01142
221	11309	0.011309
222	10889	0.010889
223	10639	0.010639
224	10407	0.010407
225	10117	0.010117
226	9648	0.009648
227	9149	0.009149
228	9008	0.009008
229	8543	0.008543
230	7908	0.007908
231	7729	0.007729
232	7219	0.007219
233	6790	0.00679
234	6362	0.006362
235	5858	0.005858
236	5351	0.005351
237	4953	0.004953
238	4540	0.00454
239	4137	0.004137
240	3868	0.003868
241	3349	0.003349
242	3162	0.003162
243	2939	0.002939
244	2515	0.002515
245	2211	0.002211
246	2089	0.002089
247	1793	0.001793
248	1581	0.001581
249	1460	0.00146
250	1255	0.001255
251	1016	0.001016
252	875	0.000875
253	748	0.000748
254	699	0.000699
255	573	0.000573
256	501	0.000501
257	411	0.000411
258	353	0.000353
259	317	0.000317
260	262	0.000262
261	236	0.000236
262	178	0.000178
263	130	0.00013
264	130	0.00013
265	74	7.4E-05
266	90	9E-05
267	57	5.7E-05
268	56	5.6E-05
269	31	3.1E-05
270	23	2.3E-05
271	20	2E-05
272	18	1.8E-05
273	13	1.3E-05
274	16	1.6E-05
275	13	1.3E-05
276	7	7E-06
277	7	7E-06
278	6	6E-06
279	5	5E-06
280	3	3E-06
281	1	1E-06
282	1	1E-06
283	1	1E-06
284	2	2E-06
285	1	1E-06
286	1	1E-06
