Damage	Count	Percentage
12	707	0.000707
27	548	0.000548
28	1066	0.001066
29	1595	0.001595
30	2105	0.002105
31	2667	0.002667
32	3141	0.003141
33	2679	0.002679
34	2094	0.002094
35	1585	0.001585
36	1059	0.001059
37	510	0.00051
49	1	1E-06
50	3	3E-06
51	5	5E-06
52	6	6E-06
53	14	1.4E-05
54	34	3.4E-05
55	50	5E-05
56	93	9.3E-05
57	187	0.000187
58	234	0.000234
59	345	0.000345
60	436	0.000436
61	631	0.000631
62	756	0.000756
63	873	0.000873
64	1038	0.001038
65	1232	0.001232
66	1295	0.001295
67	1397	0.001397
68	1471	0.001471
69	1469	0.001469
70	1544	0.001544
71	1551	0.001551
72	1630	0.00163
73	1905	0.001905
74	2459	0.002459
75	3206	0.003206
76	4389	0.004389
77	6081	0.006081
78	8019	0.008019
79	10645	0.010645
80	13533	0.013533
81	16920	0.01692
82	20023	0.020023
83	24057	0.024057
84	26944	0.026944
85	29379	0.029379
86	31760	0.03176
87	33118	0.033118
88	33265	0.033265
89	33339	0.033339
90	32167	0.032167
91	29513	0.029513
92	26816	0.026816
93	23617	0.023617
94	20021	0.020021
95	16656	0.016656
96	13365	0.013365
97	10238	0.010238
98	7834	0.007834
99	5613	0.005613
100	3983	0.003983
101	2572	0.002572
102	1657	0.001657
103	1005	0.001005
104	610	0.00061
105	321	0.000321
106	177	0.000177
107	82	8.2E-05
108	26	2.6E-05
109	16	1.6E-05
110	5	5E-06
111	1	1E-06
121	2	2E-06
124	1	1E-06
127	1	1E-06
129	2	2E-06
131	3	3E-06
132	2	2E-06
133	5	5E-06
134	2	2E-06
135	7	7E-06
136	7	7E-06
137	9	9E-06
138	3	3E-06
139	6	6E-06
140	8	8E-06
141	17	1.7E-05
142	18	1.8E-05
143	12	1.2E-05
144	20	2E-05
145	16	1.6E-05
146	26	2.6E-05
147	22	2.2E-05
148	30	3E-05
149	24	2.4E-05
150	42	4.2E-05
151	43	4.3E-05
152	54	5.4E-05
153	60	6E-05
154	47	4.7E-05
155	75	7.5E-05
156	88	8.8E-05
157	87	8.7E-05
158	102	0.000102
159	118	0.000118
160	102	0.000102
161	128	0.000128
162	128	0.000128
163	124	0.000124
164	155	0.000155
165	171	0.000171
166	171	0.000171
167	193	0.000193
168	181	0.000181
169	198	0.000198
170	210	0.00021
171	207	0.000207
172	201	0.000201
173	216	0.000216
174	223	0.000223
175	224	0.000224
176	233	0.000233
177	239	0.000239
178	243	0.000243
179	236	0.000236
180	212	0.000212
181	234	0.000234
182	220	0.00022
183	222	0.000222
184	225	0.000225
185	219	0.000219
186	240	0.00024
187	210	0.00021
188	204	0.000204
189	209	0.000209
190	247	0.000247
191	255	0.000255
192	286	0.000286
193	305	0.000305
194	311	0.000311
195	355	0.000355
196	420	0.00042
197	440	0.00044
198	510	0.00051
199	569	0.000569
200	608	0.000608
201	706	0.000706
202	839	0.000839
203	940	0.00094
204	1030	0.00103
205	1169	0.001169
206	1273	0.001273
207	1402	0.001402
208	1686	0.001686
209	1883	0.001883
210	2058	0.002058
211	2290	0.00229
212	2488	0.002488
213	2854	0.002854
214	3061	0.003061
215	3270	0.00327
216	3712	0.003712
217	3930	0.00393
218	4181	0.004181
219	4483	0.004483
220	4821	0.004821
221	5206	0.005206
222	5466	0.005466
223	5662	0.005662
224	6179	0.006179
225	6392	0.006392
226	6657	0.006657
227	7038	0.007038
228	7567	0.007567
229	7628	0.007628
230	8042	0.008042
231	8229	0.008229
232	8602	0.008602
233	8709	0.008709
234	9101	0.009101
235	9203	0.009203
236	9511	0.009511
237	9603	0.009603
238	9432	0.009432
239	9654	0.009654
240	9639	0.009639
241	9878	0.009878
242	9713	0.009713
243	9782	0.009782
244	9792	0.009792
245	9654	0.009654
246	9420	0.00942
247	9382	0.009382
248	9437	0.009437
249	9202	0.009202
250	9222	0.009222
251	8910	0.00891
252	8674	0.008674
253	8546	0.008546
254	8214	0.008214
255	8078	0.008078
256	7794	0.007794
257	7412	0.007412
258	7266	0.007266
259	6884	0.006884
260	6525	0.006525
261	6204	0.006204
262	5765	0.005765
263	5697	0.005697
264	5350	0.00535
265	4944	0.004944
266	4690	0.00469
267	4429	0.004429
268	4071	0.004071
269	3651	0.003651
270	3475	0.003475
271	3222	0.003222
272	2914	0.002914
273	2656	0.002656
274	2457	0.002457
275	2219	0.002219
276	2039	0.002039
277	1763	0.001763
278	1600	0.0016
279	1458	0.001458
280	1232	0.001232
281	1132	0.001132
282	1030	0.00103
283	848	0.000848
284	755	0.000755
285	679	0.000679
286	559	0.000559
287	532	0.000532
288	444	0.000444
289	332	0.000332
290	321	0.000321
291	242	0.000242
292	233	0.000233
293	177	0.000177
294	178	0.000178
295	112	0.000112
296	92	9.2E-05
297	91	9.1E-05
298	75	7.5E-05
299	66	6.6E-05
300	53	5.3E-05
301	39	3.9E-05
302	42	4.2E-05
303	37	3.7E-05
304	18	1.8E-05
305	13	1.3E-05
306	13	1.3E-05
307	8	8E-06
308	5	5E-06
309	8	8E-06
310	5	5E-06
311	2	2E-06
312	5	5E-06
313	1	1E-06
314	1	1E-06
315	1	1E-06
318	1	1E-06
319	1	1E-06
333	1	1E-06
