Damage	Count	Percentage
12	8018	0.008018
27	446	0.000446
28	867	0.000867
29	1316	0.001316
30	1768	0.001768
31	2236	0.002236
32	2791	0.002791
33	2189	0.002189
34	1747	0.001747
35	1439	0.001439
36	1268	0.001268
37	1319	0.001319
38	1817	0.001817
39	3123	0.003123
40	5208	0.005208
41	7473	0.007473
42	10346	0.010346
43	13092	0.013092
44	15795	0.015795
45	18011	0.018011
46	19483	0.019483
47	19934	0.019934
48	19212	0.019212
49	17976	0.017976
50	15738	0.015738
51	13197	0.013197
52	10438	0.010438
53	7842	0.007842
54	5747	0.005747
55	4544	0.004544
56	4242	0.004242
57	4639	0.004639
58	6493	0.006493
59	8987	0.008987
60	12667	0.012667
61	16432	0.016432
62	20750	0.02075
63	25079	0.025079
64	28976	0.028976
65	31742	0.031742
66	33666	0.033666
67	34290	0.03429
68	33899	0.033899
69	32117	0.032117
70	29058	0.029058
71	25466	0.025466
72	20667	0.020667
73	16374	0.016374
74	12401	0.012401
75	8959	0.008959
76	6002	0.006002
77	3984	0.003984
78	2371	0.002371
79	1249	0.001249
80	655	0.000655
81	293	0.000293
82	128	0.000128
83	31	3.1E-05
84	4	4E-06
117	1	1E-06
119	2	2E-06
120	1	1E-06
122	2	2E-06
124	4	4E-06
125	2	2E-06
126	3	3E-06
127	2	2E-06
128	4	4E-06
129	3	3E-06
130	2	2E-06
131	8	8E-06
132	9	9E-06
133	5	5E-06
134	14	1.4E-05
135	25	2.5E-05
136	18	1.8E-05
137	13	1.3E-05
138	14	1.4E-05
139	28	2.8E-05
140	22	2.2E-05
141	28	2.8E-05
142	47	4.7E-05
143	51	5.1E-05
144	42	4.2E-05
145	72	7.2E-05
146	64	6.4E-05
147	65	6.5E-05
148	92	9.2E-05
149	115	0.000115
150	117	0.000117
151	131	0.000131
152	190	0.00019
153	170	0.00017
154	220	0.00022
155	248	0.000248
156	267	0.000267
157	357	0.000357
158	427	0.000427
159	387	0.000387
160	470	0.00047
161	520	0.00052
162	648	0.000648
163	729	0.000729
164	699	0.000699
165	824	0.000824
166	878	0.000878
167	957	0.000957
168	1073	0.001073
169	1187	0.001187
170	1294	0.001294
171	1364	0.001364
172	1504	0.001504
173	1683	0.001683
174	1744	0.001744
175	1946	0.001946
176	2069	0.002069
177	2285	0.002285
178	2426	0.002426
179	2454	0.002454
180	2849	0.002849
181	2890	0.00289
182	3159	0.003159
183	3326	0.003326
184	3541	0.003541
185	3570	0.00357
186	3766	0.003766
187	4153	0.004153
188	4303	0.004303
189	4496	0.004496
190	4628	0.004628
191	4828	0.004828
192	5061	0.005061
193	5341	0.005341
194	5436	0.005436
195	5601	0.005601
196	5985	0.005985
197	6031	0.006031
198	6082	0.006082
199	6341	0.006341
200	6378	0.006378
201	6554	0.006554
202	6603	0.006603
203	6837	0.006837
204	6769	0.006769
205	6920	0.00692
206	6932	0.006932
207	7010	0.00701
208	6957	0.006957
209	7064	0.007064
210	7007	0.007007
211	6672	0.006672
212	6935	0.006935
213	6921	0.006921
214	6649	0.006649
215	6741	0.006741
216	6605	0.006605
217	6287	0.006287
218	6122	0.006122
219	6192	0.006192
220	6073	0.006073
221	5900	0.0059
222	5549	0.005549
223	5307	0.005307
224	5052	0.005052
225	4806	0.004806
226	4731	0.004731
227	4269	0.004269
228	4179	0.004179
229	3827	0.003827
230	3621	0.003621
231	3461	0.003461
232	3174	0.003174
233	2994	0.002994
234	2760	0.00276
235	2502	0.002502
236	2267	0.002267
237	2052	0.002052
238	1886	0.001886
239	1753	0.001753
240	1557	0.001557
241	1391	0.001391
242	1186	0.001186
243	1153	0.001153
244	937	0.000937
245	833	0.000833
246	793	0.000793
247	640	0.00064
248	610	0.00061
249	496	0.000496
250	431	0.000431
251	380	0.00038
252	297	0.000297
253	253	0.000253
254	208	0.000208
255	187	0.000187
256	170	0.00017
257	134	0.000134
258	115	0.000115
259	86	8.6E-05
260	82	8.2E-05
261	73	7.3E-05
262	44	4.4E-05
263	45	4.5E-05
264	44	4.4E-05
265	21	2.1E-05
266	28	2.8E-05
267	14	1.4E-05
268	10	1E-05
269	10	1E-05
270	10	1E-05
271	7	7E-06
272	5	5E-06
273	5	5E-06
274	2	2E-06
275	6	6E-06
276	1	1E-06
277	1	1E-06
278	1	1E-06
279	1	1E-06
285	1	1E-06
