Damage	Count	Percentage
1	25192	0.025192
12	2	2E-06
13	2	2E-06
14	26	2.6E-05
15	68	6.8E-05
16	155	0.000155
17	322	0.000322
18	561	0.000561
19	1078	0.001078
20	1774	0.001774
21	2819	0.002819
22	4075	0.004075
23	5816	0.005816
24	7847	0.007847
25	10062	0.010062
26	12713	0.012713
27	15158	0.015158
28	17941	0.017941
29	20701	0.020701
30	23444	0.023444
31	26154	0.026154
32	28697	0.028697
33	31820	0.03182
34	34241	0.034241
35	36758	0.036758
36	38962	0.038962
37	40674	0.040674
38	41045	0.041045
39	40703	0.040703
40	39197	0.039197
41	36442	0.036442
42	32992	0.032992
43	28669	0.028669
44	24244	0.024244
45	19912	0.019912
46	15809	0.015809
47	12527	0.012527
48	9929	0.009929
49	7977	0.007977
50	7043	0.007043
51	6641	0.006641
52	6870	0.00687
53	7174	0.007174
54	8093	0.008093
55	8814	0.008814
56	9697	0.009697
57	10510	0.01051
58	10937	0.010937
59	11431	0.011431
60	11624	0.011624
61	11648	0.011648
62	11175	0.011175
63	10688	0.010688
64	10199	0.010199
65	9351	0.009351
66	8365	0.008365
67	7462	0.007462
68	6641	0.006641
69	5746	0.005746
70	4869	0.004869
71	4052	0.004052
72	3472	0.003472
73	2887	0.002887
74	2567	0.002567
75	2219	0.002219
76	2079	0.002079
77	1955	0.001955
78	1864	0.001864
79	1791	0.001791
80	1927	0.001927
81	1998	0.001998
82	1939	0.001939
83	2190	0.00219
84	2320	0.00232
85	2363	0.002363
86	2598	0.002598
87	2739	0.002739
88	2828	0.002828
89	3043	0.003043
90	3080	0.00308
91	3184	0.003184
92	3311	0.003311
93	3212	0.003212
94	3300	0.0033
95	3274	0.003274
96	3172	0.003172
97	3054	0.003054
98	2932	0.002932
99	2802	0.002802
100	2590	0.00259
101	2573	0.002573
102	2375	0.002375
103	2247	0.002247
104	2016	0.002016
105	2017	0.002017
106	1892	0.001892
107	1724	0.001724
108	1551	0.001551
109	1522	0.001522
110	1487	0.001487
111	1341	0.001341
112	1392	0.001392
113	1258	0.001258
114	1231	0.001231
115	1218	0.001218
116	1185	0.001185
117	1046	0.001046
118	1031	0.001031
119	1002	0.001002
120	863	0.000863
121	852	0.000852
122	768	0.000768
123	723	0.000723
124	645	0.000645
125	598	0.000598
126	507	0.000507
127	455	0.000455
128	376	0.000376
129	339	0.000339
130	275	0.000275
131	229	0.000229
132	219	0.000219
133	163	0.000163
134	138	0.000138
135	108	0.000108
136	89	8.9E-05
137	66	6.6E-05
138	58	5.8E-05
139	60	6E-05
140	22	2.2E-05
141	31	3.1E-05
142	26	2.6E-05
143	13	1.3E-05
144	20	2E-05
145	8	8E-06
146	3	3E-06
147	2	2E-06
148	3	3E-06
149	1	1E-06
150	2	2E-06
151	1	1E-06
153	1	1E-06
