Damage	Count	Percentage
1	71141	0.071141
4	1981	0.001981
5	5623	0.005623
6	11356	0.011356
7	19150	0.01915
8	22921	0.022921
9	22921	0.022921
10	18961	0.018961
11	11556	0.011556
12	5732	0.005732
13	1808	0.001808
14	2	2E-06
15	7	7E-06
16	8	8E-06
17	38	3.8E-05
18	44	4.4E-05
19	67	6.7E-05
20	138	0.000138
21	179	0.000179
22	278	0.000278
23	364	0.000364
24	502	0.000502
25	591	0.000591
26	705	0.000705
27	852	0.000852
28	928	0.000928
29	1086	0.001086
30	1265	0.001265
31	1481	0.001481
32	1807	0.001807
33	2229	0.002229
34	2986	0.002986
35	3694	0.003694
36	4770	0.00477
37	5953	0.005953
38	7621	0.007621
39	9414	0.009414
40	11634	0.011634
41	13822	0.013822
42	15955	0.015955
43	18303	0.018303
44	20281	0.020281
45	22005	0.022005
46	23419	0.023419
47	24038	0.024038
48	24230	0.02423
49	24165	0.024165
50	23186	0.023186
51	21604	0.021604
52	19819	0.019819
53	17380	0.01738
54	15555	0.015555
55	13565	0.013565
56	11519	0.011519
57	10257	0.010257
58	8596	0.008596
59	7669	0.007669
60	6814	0.006814
61	6535	0.006535
62	6238	0.006238
63	6389	0.006389
64	6690	0.00669
65	6896	0.006896
66	7278	0.007278
67	7201	0.007201
68	7427	0.007427
69	7433	0.007433
70	7437	0.007437
71	7424	0.007424
72	6886	0.006886
73	6509	0.006509
74	6061	0.006061
75	5446	0.005446
76	4939	0.004939
77	4141	0.004141
78	3830	0.00383
79	3238	0.003238
80	2639	0.002639
81	2288	0.002288
82	1822	0.001822
83	1524	0.001524
84	1314	0.001314
85	1142	0.001142
86	958	0.000958
87	878	0.000878
88	964	0.000964
89	1050	0.00105
90	1161	0.001161
91	1317	0.001317
92	1492	0.001492
93	1845	0.001845
94	2067	0.002067
95	2492	0.002492
96	2742	0.002742
97	3319	0.003319
98	3777	0.003777
99	4219	0.004219
100	4738	0.004738
101	5153	0.005153
102	5667	0.005667
103	6041	0.006041
104	6472	0.006472
105	6793	0.006793
106	7333	0.007333
107	7588	0.007588
108	7891	0.007891
109	8252	0.008252
110	8089	0.008089
111	8387	0.008387
112	8337	0.008337
113	8289	0.008289
114	8122	0.008122
115	8002	0.008002
116	8030	0.00803
117	7663	0.007663
118	7238	0.007238
119	6969	0.006969
120	6808	0.006808
121	6439	0.006439
122	6043	0.006043
123	5787	0.005787
124	5288	0.005288
125	5227	0.005227
126	4754	0.004754
127	4575	0.004575
128	4332	0.004332
129	4117	0.004117
130	3929	0.003929
131	3827	0.003827
132	3459	0.003459
133	3523	0.003523
134	3208	0.003208
135	3044	0.003044
136	2810	0.00281
137	2764	0.002764
138	2599	0.002599
139	2380	0.00238
140	2165	0.002165
141	2002	0.002002
142	1927	0.001927
143	1748	0.001748
144	1563	0.001563
145	1425	0.001425
146	1190	0.00119
147	1172	0.001172
148	945	0.000945
149	811	0.000811
150	723	0.000723
151	598	0.000598
152	533	0.000533
153	426	0.000426
154	366	0.000366
155	286	0.000286
156	250	0.00025
157	212	0.000212
158	178	0.000178
159	133	0.000133
160	105	0.000105
161	67	6.7E-05
162	59	5.9E-05
163	37	3.7E-05
164	35	3.5E-05
165	22	2.2E-05
166	22	2.2E-05
167	13	1.3E-05
168	9	9E-06
169	12	1.2E-05
170	6	6E-06
171	4	4E-06
172	2	2E-06
173	1	1E-06
174	1	1E-06
177	1	1E-06
184	1	1E-06
