Damage	Count	Percentage
1	70613	0.070613
4	1900	0.0019
5	5636	0.005636
6	11315	0.011315
7	19066	0.019066
8	22844	0.022844
9	22419	0.022419
10	18830	0.01883
11	11406	0.011406
12	5656	0.005656
13	1839	0.001839
14	3	3E-06
15	3	3E-06
16	19	1.9E-05
17	44	4.4E-05
18	63	6.3E-05
19	148	0.000148
20	221	0.000221
21	383	0.000383
22	612	0.000612
23	946	0.000946
24	1541	0.001541
25	2181	0.002181
26	3039	0.003039
27	4330	0.00433
28	5919	0.005919
29	8373	0.008373
30	10939	0.010939
31	14185	0.014185
32	17713	0.017713
33	22189	0.022189
34	26486	0.026486
35	30610	0.03061
36	34120	0.03412
37	36587	0.036587
38	38487	0.038487
39	39373	0.039373
40	38391	0.038391
41	36085	0.036085
42	32202	0.032202
43	28664	0.028664
44	24326	0.024326
45	19731	0.019731
46	15926	0.015926
47	12389	0.012389
48	10033	0.010033
49	8066	0.008066
50	6916	0.006916
51	6532	0.006532
52	6607	0.006607
53	7252	0.007252
54	7932	0.007932
55	8690	0.00869
56	9379	0.009379
57	10060	0.01006
58	10670	0.01067
59	11099	0.011099
60	11509	0.011509
61	11253	0.011253
62	11007	0.011007
63	10304	0.010304
64	9540	0.00954
65	8583	0.008583
66	7653	0.007653
67	6787	0.006787
68	5960	0.00596
69	4763	0.004763
70	3791	0.003791
71	3133	0.003133
72	2550	0.00255
73	1966	0.001966
74	1553	0.001553
75	1367	0.001367
76	1229	0.001229
77	1160	0.00116
78	1056	0.001056
79	1181	0.001181
80	1257	0.001257
81	1478	0.001478
82	1637	0.001637
83	1847	0.001847
84	2032	0.002032
85	2280	0.00228
86	2457	0.002457
87	2543	0.002543
88	2660	0.00266
89	3115	0.003115
90	3068	0.003068
91	3301	0.003301
92	3196	0.003196
93	3376	0.003376
94	3240	0.00324
95	3124	0.003124
96	3155	0.003155
97	3014	0.003014
98	2944	0.002944
99	2817	0.002817
100	2605	0.002605
101	2506	0.002506
102	2302	0.002302
103	2158	0.002158
104	2099	0.002099
105	1896	0.001896
106	1851	0.001851
107	1738	0.001738
108	1611	0.001611
109	1551	0.001551
110	1403	0.001403
111	1392	0.001392
112	1344	0.001344
113	1301	0.001301
114	1260	0.00126
115	1178	0.001178
116	1210	0.00121
117	1050	0.00105
118	1037	0.001037
119	1008	0.001008
120	850	0.00085
121	883	0.000883
122	785	0.000785
123	702	0.000702
124	632	0.000632
125	602	0.000602
126	520	0.00052
127	428	0.000428
128	404	0.000404
129	299	0.000299
130	303	0.000303
131	233	0.000233
132	193	0.000193
133	168	0.000168
134	131	0.000131
135	104	0.000104
136	89	8.9E-05
137	73	7.3E-05
138	62	6.2E-05
139	36	3.6E-05
140	32	3.2E-05
141	26	2.6E-05
142	23	2.3E-05
143	14	1.4E-05
144	15	1.5E-05
145	9	9E-06
146	3	3E-06
147	2	2E-06
148	2	2E-06
149	2	2E-06
152	1	1E-06
